Ticker,Current Price,1310-Day Average Price,Percentage,Price for +10%
CMG,62.24,1619.239102,3.843780694,68.464
LRCX,73.83,599.7037361,12.31107888,81.213
SMCI,34.33,233.2058925,14.72089733,37.763
GOOG,197.57,936.299418,21.10115591,217.327
GOOGL,196.11,929.2833315,21.10335926,215.721
AMZN,229.05,1022.962312,22.39085423,251.955
TSCO,54.49,225.0208703,24.21553162,59.939
MRNA,40.27,155.8024169,25.8468391,44.297
WBA,9.19,32.05255543,28.67166089,10.109
COO,92.81,299.9375055,30.94311258,102.091
TECH,73.03,217.2162029,33.6208805,80.333
AVGO,239.68,675.5397228,35.47977889,263.648
EL,75.08,211.2451109,35.54165097,82.588
DXCM,80.24,212.4650776,37.76620652,88.264
CTAS,188.35,465.2154712,40.4866157,207.185
DG,74.64,183.2112749,40.73985077,82.104
NVDA,140.22,334.5947118,41.90741667,154.242
DECK,208.01,483.1103659,43.05641417,228.811
ENPH,73.28,167.7345344,43.68808145,80.608
PARA,10.42,21.77583149,47.85121527,11.462
ALB,89.99,187.9714412,47.87429378,98.989
MTCH,33.22,66.3715133,50.05159344,36.542
ANET,114.65,222.2672616,51.58204549,126.115
CE,68.4,131.8216408,51.8882936,75.24
FMC,49.74,92.92370288,53.52778512,54.714
BAX,29.08,53.89375831,53.95801093,31.988
INTC,20.4,37.74929047,54.04075083,22.44
CVS,44.25,80.58032151,54.91415171,48.675
PANW,189.51,344.4716962,55.0146796,208.461
APTV,59.95,104.2477605,57.50723056,65.945
DLTR,73.38,126.5450111,57.98727217,80.718
CZR,33.33,56.79577051,58.68394724,36.663
HUM,255.52,432.2227827,59.11766113,281.072
BIIB,149.02,247.4596619,60.21991579,163.922
ODFL,181.57,299.4405432,60.6364115,199.727
ALGN,213.5,351.0587694,60.81602814,234.85
MOS,24.27,39.77978936,61.01088113,26.697
AES,13.02,21.22133038,61.35336366,14.322
QRVO,71.5,115.0881486,62.12629267,78.65
DVN,31.24,49.36238359,63.28705732,34.364
BF.B,39.88,61.97613082,64.34735352,43.868
CCI,91,139.7001441,65.13951762,100.1
APA,21.87,33.36166851,65.55427523,24.057
NKE,76.79,114.8551552,66.85812218,84.469
CPRT,59.11,88.1612694,67.04758269,65.021
TFX,177.26,263.5557982,67.25710502,194.986
PFE,26.74,39.51313747,67.67369465,29.414
ARE,99.44,146.3604435,67.94185481,109.384
MCHP,58.56,85.58064856,68.42668405,64.416
ETR,76.23,109.0753659,69.88745754,83.853
ADM,50.63,72.06028825,70.26061265,55.693
SWK,81.12,114.2351552,71.01141488,89.232
MNST,52.51,73.69644124,71.25174447,57.761
EPAM,242.47,338.3290576,71.66691554,266.717
PAYC,209.75,291.8422284,71.87102468,230.725
WMT,92.68,128.9294568,71.88427092,101.948
DOW,40.09,55.23307095,72.58332609,44.099
FTNT,97.81,134.6292073,72.65139708,107.591
SRE,87.96,120.619102,72.92377289,96.756
UPS,126.26,172.6337361,73.13750071,138.886
LKQ,36.7,49.93149667,73.50070085,40.37
CRL,186.29,252.2133259,73.8620766,204.919
SBAC,202.56,272.3556042,74.37335486,222.816
F,10.02,13.44977827,74.49936942,11.022
AMTM,19.81,26.26540984,75.4223906,21.791
CSGP,72.95,96.54707871,75.55899254,80.245
GNRC,154.7,203.3110754,76.09029646,170.17
TGT,132.4,172.1699889,76.90074259,145.64
NEM,38.31,49.80058758,76.92680319,42.141
NDAQ,78.92,102.5309867,76.97185265,86.812
ES,57.28,74.30953437,77.08297527,63.008
LW,63.69,82.41463415,77.27996449,70.059
MKTX,229.4,296.3872118,77.39875099,252.34
HRL,31.61,40.72590909,77.61643805,34.771
SWKS,90.35,116.3953049,77.62340594,99.385
BEN,20.88,26.78482262,77.95459503,22.968
LYB,74.12,94.15026608,78.72521565,81.532
CHTR,352.19,445.5687583,79.04279495,387.409
TPL,1161.2,1455.311641,79.79047013,1277.32
ELV,372.94,467.234357,79.81861659,410.234
HAS,57.15,71.35200111,80.09586152,62.865
IFF,85.11,105.6169235,80.58367653,93.621
BWA,32.18,39.78781596,80.87903098,35.398
DOC,20.39,25.204102,80.89952978,22.429
GPC,117.29,144.4132539,81.21830708,129.019
BG,79.1,96.94798226,81.59014572,87.01
CNC,60.83,74.14646341,82.04032559,66.913
PYPL,88.25,107.5173836,82.07975032,97.075
NUE,117.43,142.7028714,82.28986484,129.173
HSY,170.49,206.5056319,82.55949167,187.539
AMT,184.71,223.7274612,82.56027178,203.181
HAL,26.84,32.40480044,82.82723434,29.524
PLD,104.7,126.1415632,83.00198392,115.17
KHC,30.64,36.73891907,83.39929638,33.704
WRB,58.71,70.38464523,83.41307938,64.581
RVTY,112.34,134.5641796,83.48432721,123.574
IDXX,413.62,495.0854379,83.54517591,454.982
BALL,56.16,66.91797118,83.92364415,61.776
EW,75.38,89.67488359,84.05921143,82.918
WY,28.26,33.51453437,84.32162503,31.086
SJM,111.53,131.8132594,84.61212513,122.683
CAG,27.64,32.64088692,84.67907159,30.404
SLB,37.73,44.33590909,85.10031885,41.503
HII,192.46,225.2145455,85.45629218,211.706
D,53.77,62.91241685,85.46802474,59.147
O,53.24,62.27525499,85.49142032,58.564
AWK,125.73,146.3933149,85.88506936,138.303
TSN,57.74,67.11160754,86.03578743,63.514
IPG,28.34,32.88345344,86.18316216,31.174
MGM,34.74,40.24099778,86.32986733,38.214
AMCR,9.49,10.93527716,86.78335135,10.439
ZBH,107.3,123.4827273,86.8947442,118.03
MDT,81.54,93.05720621,87.62352033,89.694
PPG,120.98,137.4206984,88.03622843,133.078
DHR,230.75,261.8203548,88.1329491,253.825
OXY,48.12,54.47566519,88.33301959,52.932
EXC,37.52,42.31292683,88.67266533,41.272
CMCSA,38.4,43.30129712,88.6809462,42.24
TROW,117.07,131.7342572,88.86830387,128.777
APH,71.66,80.57192905,88.93916386,78.826
IQV,199.99,224.3922395,89.12518565,219.989
JNJ,145.85,163.5456042,89.18001844,160.435
CPB,41.64,46.38562084,89.76919839,45.804
PEP,152.81,170.1399667,89.81428816,168.091
MDLZ,60,66.77582594,89.85287588,66
NDSN,212.29,236.0937029,89.91768836,233.519
CDW,176.34,195.3930987,90.24883745,193.974
WBD,10.55,11.66817784,90.41685979,11.605
POOL,351.65,388.2791242,90.56629062,386.815
GIS,63.74,70.33208725,90.62719804,70.114
EXR,149.56,164.3757206,90.98667336,164.516
GPN,112.98,123.9439246,91.15412502,124.278
INVH,32.62,35.68945122,91.39955613,35.882
ZTS,164.7,180.0764191,91.46117013,181.17
VZ,39.8,43.51222838,91.46853995,43.78
ADBE,447.94,487.9173891,91.80652503,492.734
BDX,226.95,246.6956874,91.9959333,249.645
HSIC,70.01,75.91549335,92.22096428,77.011
BXP,76.13,82.41167406,92.37768905,83.743
REGN,714.47,771.1874723,92.64543651,785.917
MTD,1246.3,1344.638514,92.68662073,1370.93
MHK,120.19,129.0455322,93.13766854,132.209
BMY,57.76,61.94175166,93.24889666,63.536
SBUX,89.91,96.26419069,93.39921663,98.901
KDP,32.45,34.67255543,93.58987128,35.695
MOH,295.19,315.3193348,93.61620662,324.709
BA,179.34,191.5159202,93.64234568,197.274
CPT,116.43,124.0334368,93.86984913,128.073
STZ,225.4,239.501408,94.11218159,247.94
CSX,32.57,34.57237251,94.20817155,35.827
LUV,34.35,36.36245011,94.46558165,37.785
VICI,29.24,30.73486696,95.13625042,32.164
JBHT,171.57,180.2084368,95.20641932,188.727
MAA,154.76,162.4361086,95.27438283,170.236
COP,97.11,101.8379047,95.35742151,106.821
EMN,91.57,95.98289357,95.40241661,100.727
TMO,528.98,553.8836142,95.50381821,581.878
MKC,78.03,81.55676275,95.67569551,85.833
KMX,84.91,88.48707317,95.95751894,93.401
IVZ,17.75,18.47239468,96.08932848,19.525
WST,332.77,346.1803326,96.12620033,366.047
LH,229.49,238.632816,96.16866778,252.439
AKAM,96.91,100.7180876,96.21906286,106.601
EXPD,111.19,115.3013193,96.43428253,122.309
CVX,143.84,148.8356208,96.64353142,158.224
AOS,68.89,71.09921286,96.89277452,75.779
NEE,72.91,75.24200665,96.90065861,80.201
AVY,189.38,194.6100111,97.31256832,208.318
HOLX,72.68,74.678398,97.32399454,79.948
STE,208.68,214.3202106,97.36832535,229.548
PSA,300.8,308.5691685,97.48219547,330.88
FIS,82.34,84.19402439,97.79791452,90.574
UDR,43.66,44.57509978,97.94706062,48.026
LHX,213.32,217.5639246,98.0493436,234.652
FCX,39.22,39.91915743,98.24856667,43.142
NSC,237.92,242.1157761,98.26703732,261.712
DIS,112.56,114.4666186,98.33434529,123.816
MRK,99.45,100.7750998,98.68509207,109.395
TFC,43.99,44.56909091,98.70068943,48.389
CTRA,24.73,25.05338137,98.70923062,27.203
CI,280.06,283.5480931,98.76984074,308.066
WYNN,88.78,89.86707871,98.79034822,97.658
ED,89.58,90.41597561,99.07541161,98.538
ON,67.9,68.37792683,99.30105101,74.69
ABNB,134.99,135.8602106,99.35948087,148.489
IEX,212.28,213.5392905,99.41027693,233.508
A,136.1,136.8269069,99.46873982,149.71
VRSN,201.48,201.5853104,99.94775888,221.628
MMM,130.36,130.1578936,100.1552779,143.396
KVUE,21.56,21.5263285,100.1564201,23.716
KMB,132.18,131.7886918,100.2969209,145.398
VLO,118.84,118.4030266,100.3690559,130.724
BBY,86.85,86.42702882,100.4893969,95.535
SYY,77.53,77.08754989,100.5739579,85.283
FE,39.89,39.47315965,101.0560096,43.879
UNH,506.1,499.8304989,101.2543254,556.71
INCY,69.91,68.92859202,101.4238039,76.901
EQR,72.22,71.03756652,101.6645186,79.442
GEHC,79.36,78.02362475,101.7127828,87.296
UNP,229.75,225.4473614,101.9084892,252.725
AMGN,264.49,259.1924169,102.0438805,290.939
KEY,17.37,17.01445676,102.0896538,19.107
EVRG,61.75,60.28851441,102.4241526,67.925
PFG,77.8,75.9122949,102.4866922,85.58
J,136,132.1894013,102.8826809,149.6
ABT,114.76,111.5420067,102.8850058,126.236
TXT,77.24,74.83354767,103.21574,84.964
AEP,92.37,89.44135809,103.274371,101.607
DAY,74.23,71.8516408,103.3100973,81.653
KO,62.84,60.78933481,103.3733963,69.124
HST,18.22,17.61974501,103.4067178,20.042
JKHY,177.05,171.0076608,103.5333734,194.755
DTE,120.76,116.5212306,103.6377657,132.836
ULTA,435.31,418.8279435,103.935281,478.841
KEYS,163.86,157.3714856,104.123056,180.246
OMC,86.39,82.94199557,104.1571274,95.029
WEC,95.04,91.24419069,104.1600559,104.544
DPZ,431,413.665388,104.1904913,474.1
NOC,471.09,450.3957317,104.5946857,518.199
SOLV,66.56,63.57251337,104.699337,73.216
EOG,120.83,115.3845233,104.7194169,132.913
FRT,112.73,107.6229379,104.7453286,124.003
HES,130.56,124.6206874,104.7659123,143.616
ROK,292.2,278.7220732,104.8356152,321.42
PSX,111.58,106.3368847,104.9306648,122.738
XEL,68.21,64.79883592,105.2642367,75.031
TSLA,462.28,438.259041,105.4809957,508.508
TAP,58.6,55.46315965,105.6557188,64.46
YUM,135,127.6489135,105.758832,148.5
HPQ,33.44,31.60790466,105.7963201,36.784
NXPI,215.4,203.5015022,105.8468845,236.94
XYL,118.15,111.4682594,105.9942988,129.965
GL,110.69,104.3072284,106.1192035,121.759
ESS,286.79,270.0893681,106.1833726,315.469
USB,48.83,45.98189579,106.1939687,53.713
RMD,232.58,218.8886142,106.2549557,255.838
DD,77.25,72.69824834,106.2611573,84.975
CTVA,57.48,53.99238359,106.45946,63.228
FTV,75,70.36962306,106.5800792,82.5
TEL,145.5,136.4179823,106.6574931,160.05
SCHW,74.84,70.1159867,106.7374268,82.324
CMS,66.82,62.27343681,107.3009672,73.502
CLX,163.43,151.9493459,107.5555798,179.773
LNT,59.62,55.42312084,107.5724338,65.582
DUK,108.97,101.2449778,107.63003,119.867
VTRS,12.4,11.49375277,107.8846939,13.64
APD,296.02,274.3206984,107.9101948,325.622
CF,85.4,79.10327051,107.960138,93.94
TXN,192.44,178.0329823,108.0923307,211.684
STX,88.49,81.86443459,108.093338,97.339
PODD,263.23,243.3481984,108.1701043,289.553
LULU,385.69,356.2318681,108.2693702,424.259
AMD,126.29,116.4336197,108.4652356,138.919
AEE,90.89,83.44289357,108.9247941,99.979
NTRS,103.61,94.67536585,109.4371266,113.971
